[i] 132 DBA-Dokumente
[1/132] Schweiz: 33/33 Artikel, 67KB
[2/132] USA: 33/33 Artikel, 96KB
[3/132] Österreich: 33/33 Artikel, 68KB
[4/132] Großbritannien: 33/33 Artikel, 69KB
[5/132] Niederlande: 34/34 Artikel, 82KB
[6/132] Frankreich: 31/31 Artikel, 65KB
[7/132] Spanien: 32/32 Artikel, 61KB
[8/132] Italien: 32/32 Artikel, 52KB
[9/132] Polen: 33/33 Artikel, 65KB
[10/132] Luxemburg: 31/31 Artikel, 60KB
[11/132] Belgien: 31/31 Artikel, 57KB
[12/132] Türkei: 31/31 Artikel, 57KB
[13/132] Schweden: 36/36 Artikel, 68KB
[14/132] Dänemark: 40/40 Artikel, 77KB
[15/132] China: skip (vorhanden)
[16/132] Irland: 34/34 Artikel, 69KB
[17/132] Australien: 33/33 Artikel, 89KB
[18/132] Japan: 32/32 Artikel, 71KB
[19/132] Griechenland: 0/0 Artikel, 0KB
[20/132] Portugal: 31/31 Artikel, 48KB
[21/132] Thailand: 30/30 Artikel, 46KB
[22/132] Ungarn: 31/31 Artikel, 56KB
[23/132] Zypern: 32/32 Artikel, 53KB
[24/132] Singapur: 33/33 Artikel, 67KB
[25/132] Norwegen: 32/32 Artikel, 62KB
[26/132] Tschechoslowakei: 30/30 Artikel, 41KB
[27/132] Mexiko: 32/32 Artikel, 66KB
[28/132] Vietnam: 29/29 Artikel, 48KB
[29/132] Kanada: 32/32 Artikel, 71KB
[30/132] Schweiz_ErbSt: 18/18 Artikel, 23KB
[31/132] Argentinien: 30/30 Artikel, 48KB
[32/132] Südafrika: 27/27 Artikel, 41KB
[33/132] Russische_Föderation: 29/29 Artikel, 51KB
[34/132] Finnland: 29/29 Artikel, 51KB
[35/132] Indien: 29/29 Artikel, 53KB
[36/132] Israel: 30/30 Artikel, 54KB
[37/132] Korea: 30/30 Artikel, 60KB
[38/132] Taiwan: 30/30 Artikel, 54KB
[39/132] USA_ErbSt: 18/18 Artikel, 35KB
[40/132] Slowakei: 30/30 Artikel, 41KB
[41/132] Serbien: 31/31 Artikel, 44KB
[42/132] Ägypten: 31/31 Artikel, 52KB
[43/132] Tschechien: 30/30 Artikel, 41KB
[44/132] Liechtenstein: 34/34 Artikel, 75KB
[45/132] Malaysia: 31/31 Artikel, 57KB
[46/132] Bulgarien: 32/32 Artikel, 63KB
[47/132] Costa_Rica_2014: 33/33 Artikel, 59KB
[48/132] Mauritius: 33/33 Artikel, 57KB
[49/132] Kasachstan: 32/32 Artikel, 61KB
[50/132] Bosnien_und_Herzegowina: 31/31 Artikel, 44KB
[51/132] Tunesien: 31/31 Artikel, 62KB
[52/132] (Air)_Panama: 9/9 Artikel, 9KB
[53/132] Kosovo: 31/31 Artikel, 44KB
[54/132] Rumänien: 32/32 Artikel, 56KB
[55/132] Neuseeland: 30/30 Artikel, 44KB
[56/132] Litauen: 29/29 Artikel, 53KB
[57/132] Kroatien: 31/31 Artikel, 57KB
[58/132] Philippinen: 33/33 Artikel, 60KB
[59/132] Indonesien: 29/29 Artikel, 49KB
[60/132] Mazedonien: 32/32 Artikel, 61KB
[61/132] Verhandlungsgrundlage: 32/32 Artikel, 64KB
[62/132] Uruguay: 32/32 Artikel, 64KB
[63/132] Marokko: 30/30 Artikel, 41KB
[64/132] Montenegro: 31/31 Artikel, 44KB
[65/132] Island: 30/30 Artikel, 42KB
[66/132] Armenien: 32/32 Artikel, 62KB
[67/132] Georgien: 32/32 Artikel, 54KB
[68/132] Lettland: 29/29 Artikel, 52KB
[69/132] Estland: 30/30 Artikel, 54KB
[70/132] Ukraine: 29/29 Artikel, 50KB
[71/132] Malta: 32/32 Artikel, 56KB
[72/132] Ghana: 33/33 Artikel, 62KB
[73/132] Jersey: 11/11 Artikel, 14KB
[74/132] Aserbaidschan: 32/32 Artikel, 57KB
[75/132] Slowenien: 32/32 Artikel, 57KB
[76/132] Jugoslawien: 31/31 Artikel, 43KB
[77/132] DBAI_Monaco_DBAI_Monaco_idF_27072010: 12/12 Artikel, 19KB
[78/132] Kenia: 30/30 Artikel, 47KB
[79/132] Albanien: 33/33 Artikel, 61KB
[80/132] DBAI_Kaimaninseln_DBAI_Kaimaninseln_idF_27052010: 13/13 Artikel, 19KB
[81/132] Usbekistan_2014: 32/32 Artikel, 56KB
[82/132] Frankreich_ErbSt: 19/19 Artikel, 29KB
[83/132] DBAI_Gibraltar_DBAI_Gibraltar_idF_13082009: 13/13 Artikel, 19KB
[84/132] Algerien: 33/33 Artikel, 65KB
[85/132] Kuwait: 30/30 Artikel, 48KB
[86/132] Sri_Lanka: 30/30 Artikel, 45KB
[87/132] Moldau: 25/25 Artikel, 27KB
[88/132] Syrien: 30/30 Artikel, 53KB
[89/132] Belarus: 32/32 Artikel, 58KB
[90/132] Bolivien: 29/29 Artikel, 43KB
[91/132] DBAI_Bahamas_DBAI_Bahamas_idF_09042010: 14/14 Artikel, 21KB
[92/132] Venezuela: 29/29 Artikel, 47KB
[93/132] Trinidad_und_Tobago: 29/29 Artikel, 47KB
[94/132] Tadschikistan: 31/31 Artikel, 55KB
[95/132] Bangladesch: 29/29 Artikel, 47KB
[96/132] (Air)_Kamerun: 7/7 Artikel, 9KB
[97/132] Sambia: 30/30 Artikel, 41KB
[98/132] Simbabwe: 30/30 Artikel, 51KB
[99/132] UdSSR: 25/25 Artikel, 26KB
[100/132] Pakistan: 29/29 Artikel, 53KB
[101/132] Ecuador: 30/30 Artikel, 41KB
[102/132] DBAR_Österreich_DBAR_Österreich_idF_04101954: 17/17 Artikel, 9KB
[103/132] DBAI_Andorra_DBAI_Andorra_idF_25112010: 13/13 Artikel, 19KB
[104/132] Namibia: 29/29 Artikel, 45KB
[105/132] Griechenland_ErbSt: 3/3 Artikel, 2KB
[106/132] Turkmenistan: 33/33 Artikel, 64KB
[107/132] DBAI_Britischen_Jungferninseln_DBAI_Britischen_Jungferninseln_idF_04122011: 15/15 Artikel, 21KB
[108/132] Iran: 31/31 Artikel, 40KB
[109/132] DBAI_Dominica_DBAI_Dominica_idF_21092010: 14/14 Artikel, 21KB
[110/132] DBAI_Bermuda_DBAI_Bermuda_idF_03072009: 13/13 Artikel, 21KB
[111/132] Elfenbeinküste: 30/30 Artikel, 46KB
[112/132] DBAI_Antigua_und_Barbuda_DBAI_Antigua_und_Barbuda_idF_19102010: 14/14 Artikel, 20KB
[113/132] DBAI_Anguilla_DBAI_Anguilla_idF_19032010: 15/15 Artikel, 19KB
[114/132] Kirgisische_Republik: 29/29 Artikel, 54KB
[115/132] EU-DBA-SBG_-_EU-Doppelbesteuerungsabkommen-Streitbeilegungsgesetz_EU-DBA-SBG_id: 33/33 Artikel, 56KB
[116/132] Liberia: 30/30 Artikel, 45KB
[117/132] Amtshilfe_Niederlande: 18/18 Artikel, 22KB
[118/132] Mongolei: 29/29 Artikel, 46KB
[119/132] DBAR_Italien_DBAR_Italien_idF_20021939: 19/19 Artikel, 11KB
[120/132] DBAR_Finnland_DBAR_Finnland_idF_17011936: 20/20 Artikel, 14KB
[121/132] Jamaika: 30/30 Artikel, 49KB
[122/132] DBAI_Cookinseln_DBAI_Cookinseln_idF_24062013: 13/13 Artikel, 19KB
[123/132] DBAI_Montserrat_DBAI_Montserrat_idF_28102011: 15/15 Artikel, 20KB
[124/132] DBAI_Grenada_DBAI_Grenada_idF_03022011: 14/14 Artikel, 19KB
[125/132] DBAI_Liechtenstein_DBAI_Liechtenstein_idF_28102010: 14/14 Artikel, 20KB
[126/132] DBAI_St_Kitts_und_Nevis_DBAI_St_Kitts_und_Nevis_idF_19102010: 13/13 Artikel, 20KB
[127/132] DBAI_San_Marino_DBAI_San_Marino_idF_21062010: 13/13 Artikel, 19KB
[128/132] DBAI_St_Lucia_DBAI_St_Lucia_idF_07062010: 14/14 Artikel, 19KB
[129/132] DBAI_Turks-_und_Caicosinseln_DBAI_Turks-_und_Caicosinseln_idF_04062010: 15/15 Artikel, 19KB
[130/132] DBAI_St_Vincent_und_die_Grenadinen_DBAI_St_Vincent_und_die_Grenadinen_idF_2: 13/13 Artikel, 19KB
[131/132] DBAI_Guernsey_DBAI_Guernsey_idF_26032009: 13/13 Artikel, 19KB
[132/132] DBAI_Insel_Man_DBAI_Insel_Man_idF_02032009: 12/12 Artikel, 19KB

=== NWB FERTIG === ok:132 fail:0
