[i] 134 Laenderseiten
[1/134] intent: 0 Artikel, 0 PDFs (0 neu)
[2/134] Aegypten: 4 Artikel, 3 PDFs (3 neu)
[3/134] Albanien: 4 Artikel, 5 PDFs (5 neu)
[4/134] Algerien: 3 Artikel, 2 PDFs (2 neu)
[5/134] Andorra: 3 Artikel, 2 PDFs (2 neu)
[6/134] Anguilla: 4 Artikel, 3 PDFs (3 neu)
[7/134] Antigua: 3 Artikel, 2 PDFs (2 neu)
[8/134] Argentinien: 3 Artikel, 4 PDFs (4 neu)
[9/134] Armenien: 4 Artikel, 6 PDFs (6 neu)
[10/134] Aruba: 5 Artikel, 5 PDFs (5 neu)
[11/134] Aserbaidschan: 3 Artikel, 2 PDFs (2 neu)
[12/134] Australien: 4 Artikel, 4 PDFs (4 neu)
[13/134] Bahamas: 3 Artikel, 2 PDFs (2 neu)
[14/134] Bahrain: 3 Artikel, 1 PDFs (1 neu)
[15/134] Bangladesch: 3 Artikel, 2 PDFs (2 neu)
[16/134] Barbuda: 3 Artikel, 2 PDFs (0 neu)
[17/134] Belarus: 4 Artikel, 2 PDFs (2 neu)
[18/134] Belgien: 12 Artikel, 10 PDFs (10 neu)
[19/134] Bermuda: 3 Artikel, 2 PDFs (2 neu)
[20/134] Bolivien: 3 Artikel, 2 PDFs (2 neu)
[21/134] Bosnien_und_Herzegowina: 3 Artikel, 3 PDFs (3 neu)
[22/134] Brasilien: 5 Artikel, 6 PDFs (6 neu)
[23/134] Britische_Jungferninseln: 4 Artikel, 3 PDFs (3 neu)
[24/134] Bulgarien: 3 Artikel, 5 PDFs (5 neu)
[25/134] Caico_Inseln: 4 Artikel, 3 PDFs (3 neu)
[26/134] Cayman_Islands: 4 Artikel, 4 PDFs (4 neu)
[27/134] China: 4 Artikel, 7 PDFs (7 neu)
[28/134] Cookinseln: 3 Artikel, 2 PDFs (2 neu)
[29/134] Costa_Rica: 3 Artikel, 3 PDFs (3 neu)
[30/134] Daenemark: 5 Artikel, 7 PDFs (7 neu)
[31/134] Dominica: 3 Artikel, 1 PDFs (1 neu)
[32/134] Ecuador: 3 Artikel, 2 PDFs (2 neu)
[33/134] Elfenbeinkueste: 3 Artikel, 2 PDFs (2 neu)
[34/134] Estland: 3 Artikel, 4 PDFs (4 neu)
[35/134] Finnland: 3 Artikel, 4 PDFs (4 neu)
[36/134] Frankreich: 12 Artikel, 10 PDFs (0 neu)
[37/134] Georgien: 3 Artikel, 4 PDFs (4 neu)
[38/134] Ghana: 3 Artikel, 2 PDFs (2 neu)
[39/134] Gibraltar: 3 Artikel, 2 PDFs (2 neu)
[40/134] Grenada: 3 Artikel, 2 PDFs (2 neu)
[41/134] Griechenland: 4 Artikel, 5 PDFs (5 neu)
[42/134] Grossbritannien: 9 Artikel, 16 PDFs (16 neu)
[43/134] Guernsey: 4 Artikel, 3 PDFs (3 neu)
[44/134] Hongkong: 4 Artikel, 4 PDFs (4 neu)
[45/134] Indien: 4 Artikel, 3 PDFs (3 neu)
[46/134] Indonesien: 3 Artikel, 2 PDFs (2 neu)
[47/134] Iran: 3 Artikel, 3 PDFs (3 neu)
[48/134] Irland: 7 Artikel, 11 PDFs (9 neu)
[49/134] Island: 3 Artikel, 2 PDFs (2 neu)
[50/134] Isle_of_Man: 5 Artikel, 5 PDFs (5 neu)
[51/134] Israel: 3 Artikel, 7 PDFs (7 neu)
[52/134] Italien: 6 Artikel, 5 PDFs (5 neu)
[53/134] Jamaika: 3 Artikel, 2 PDFs (2 neu)
[54/134] Japan: 6 Artikel, 13 PDFs (13 neu)
[55/134] Jemen: 3 Artikel, 2 PDFs (2 neu)
[56/134] Jersey: 5 Artikel, 7 PDFs (7 neu)
[57/134] Kamerun: 3 Artikel, 2 PDFs (2 neu)
[58/134] Kanada: 6 Artikel, 5 PDFs (5 neu)
[59/134] Kasachstan: 3 Artikel, 2 PDFs (2 neu)
[60/134] Kenia: 3 Artikel, 2 PDFs (2 neu)
[61/134] Kirgisistan: 3 Artikel, 2 PDFs (2 neu)
[62/134] Kolumbien: 3 Artikel, 2 PDFs (2 neu)
[63/134] Korea_Republik: 3 Artikel, 2 PDFs (2 neu)
[64/134] Kosovo: 3 Artikel, 3 PDFs (3 neu)
[65/134] Kroatien: 5 Artikel, 5 PDFs (4 neu)
[66/134] Kuwait: 3 Artikel, 4 PDFs (4 neu)
[67/134] Lettland: 3 Artikel, 4 PDFs (4 neu)
[68/134] Liberia: 3 Artikel, 2 PDFs (2 neu)
[69/134] Liechtenstein: 4 Artikel, 6 PDFs (6 neu)
[70/134] Litauen: 3 Artikel, 4 PDFs (4 neu)
[71/134] Luxemburg: 11 Artikel, 18 PDFs (18 neu)
[72/134] Malaysia: 3 Artikel, 4 PDFs (4 neu)
[73/134] Malta: 3 Artikel, 5 PDFs (4 neu)
[74/134] Marokko: 3 Artikel, 2 PDFs (2 neu)
[75/134] Mauritius: 3 Artikel, 4 PDFs (4 neu)
[76/134] Mazedonien: 3 Artikel, 5 PDFs (5 neu)
[77/134] Mexiko: 3 Artikel, 8 PDFs (8 neu)
[78/134] Moldau: 3 Artikel, 3 PDFs (3 neu)
[79/134] Monaco: 3 Artikel, 2 PDFs (2 neu)
[80/134] Mongolei: 3 Artikel, 2 PDFs (2 neu)
[81/134] Montenegro: 3 Artikel, 3 PDFs (3 neu)
[82/134] Montserrat: 4 Artikel, 4 PDFs (4 neu)
[83/134] Namibia: 3 Artikel, 2 PDFs (2 neu)
[84/134] Neuseeland: 3 Artikel, 2 PDFs (2 neu)
[85/134] Niederlaendische-Antillen: 3 Artikel, 1 PDFs (1 neu)
[86/134] Niederlande: 12 Artikel, 10 PDFs (10 neu)
[87/134] Norwegen: 5 Artikel, 5 PDFs (5 neu)
[88/134] Oesterreich: 12 Artikel, 16 PDFs (16 neu)
[89/134] Oman: 3 Artikel, 2 PDFs (2 neu)
[90/134] Pakistan: 4 Artikel, 4 PDFs (4 neu)
[91/134] Panama: 3 Artikel, 2 PDFs (2 neu)
[92/134] Philippinen: 3 Artikel, 2 PDFs (2 neu)
[93/134] Polen: 6 Artikel, 5 PDFs (5 neu)
[94/134] Portugal: 3 Artikel, 2 PDFs (2 neu)
[95/134] Rumaenien: 3 Artikel, 2 PDFs (2 neu)
[96/134] Russische_Foederation: 6 Artikel, 6 PDFs (6 neu)
[97/134] Sambia: 3 Artikel, 2 PDFs (2 neu)
[98/134] San_Marino: 3 Artikel, 2 PDFs (2 neu)
[99/134] Saudi_Arabien: 3 Artikel, 2 PDFs (2 neu)
[100/134] Schweden: 3 Artikel, 4 PDFs (4 neu)
[101/134] Schweiz: 12 Artikel, 10 PDFs (10 neu)
[102/134] Serbien: 3 Artikel, 3 PDFs (3 neu)
[103/134] Simbabwe: 3 Artikel, 2 PDFs (2 neu)
[104/134] Singapur: 3 Artikel, 5 PDFs (5 neu)
[105/134] Sint-Maarten: 4 Artikel, 1 PDFs (1 neu)
[106/134] Slowakei: 3 Artikel, 4 PDFs (3 neu)
[107/134] Slowenien: 3 Artikel, 4 PDFs (4 neu)
[108/134] Spanien: 6 Artikel, 8 PDFs (7 neu)
[109/134] Sri_Lanka: 3 Artikel, 2 PDFs (2 neu)
[110/134] St_Kitts_und_Nevis: 3 Artikel, 2 PDFs (2 neu)
[111/134] St_Lucia: 3 Artikel, 2 PDFs (2 neu)
[112/134] St_Vincent_und_die_Grenadinen: 3 Artikel, 2 PDFs (2 neu)
[113/134] Suedafrika: 3 Artikel, 6 PDFs (6 neu)
[114/134] Syrien: 3 Artikel, 2 PDFs (2 neu)
[115/134] Tadschikistan: 3 Artikel, 2 PDFs (2 neu)
[116/134] Taiwan: 4 Artikel, 5 PDFs (5 neu)
[117/134] Thailand: 3 Artikel, 2 PDFs (2 neu)
[118/134] Trinidad_Tobago: 3 Artikel, 2 PDFs (2 neu)
[119/134] Tschechien: 3 Artikel, 5 PDFs (3 neu)
[120/134] Tuerkei: 6 Artikel, 7 PDFs (7 neu)
[121/134] Tunesien: 4 Artikel, 6 PDFs (6 neu)
[122/134] Turkmenistan: 4 Artikel, 5 PDFs (5 neu)
[123/134] Turks: 4 Artikel, 3 PDFs (0 neu)
[124/134] Ukraine: 6 Artikel, 7 PDFs (7 neu)
[125/134] Ungarn: 3 Artikel, 5 PDFs (4 neu)
[126/134] Uruguay: 3 Artikel, 4 PDFs (4 neu)
[127/134] Usbekistan: 3 Artikel, 4 PDFs (4 neu)
[128/134] Venezuela: 4 Artikel, 4 PDFs (4 neu)
[129/134] Vereinigte_Arabische_Emirate: 3 Artikel, 7 PDFs (7 neu)
[130/134] Vereinigte_Staaten: 12 Artikel, 12 PDFs (12 neu)
[131/134] Vereinigtes_Koenigreich: 9 Artikel, 16 PDFs (0 neu)
[132/134] Vietnam: 3 Artikel, 2 PDFs (2 neu)
[133/134] Zypern: 3 Artikel, 5 PDFs (5 neu)
[134/134] share: 0 Artikel, 0 PDFs (0 neu)

=== FERTIG === neu:519 vorhanden:10 fail:0 artikel:535
